centras,x,y
Naujoji Akmenė,-175,280
Alytus,50,-225
Anykščiai,202,99
Birštonas,40,-180
Biržai,165,268
Druskininkai,27,-340
Elektrėnai,140,-130
Ignalina,403,66
Jonava,65,-30
Joniškis,-40,288
Jurbarkas,-144,-6
Kaišiadorys,90,-100
Kalvarija,-110,-230
Kaunas,-5,-65
Kazlų Rūda,-75,-116
Kėdainiai,21,44
Kelmė,-155,126
Klaipėda,-450,135
Gargždai,-372,128
Kretinga,-410,211
Kupiškis,197,180
Lazdijai,-37,-276
Marijampolė,-82,-180
Mažeikiai,-250,297
Molėtai,265,17
Nida,-439,63
Pagėgiai,-303,-25
Pakruojis,-18,218
Palanga,-450,204
Panevėžys,75,115
Pasvalys,80,234
Plungė,-312,209
Prienai,-5,-150
Radviliškis,-26,132
Raseiniai,-91,52
Rietavas,-295,144
Rokiškis,286,202
Skuodas,-338,276
Šakiai,-114,-74
Šalčininkai,230,-240
Šiauliai,-112,220
Šilalė,-258,96
Šilutė,-353,47
Širvintos,181,-54
Švenčionys,340,-25
Tauragė,-260,10
Telšiai,-228,199
Trakai,163,-180
Ukmergė,153,10
Utena,300,89
Varėna,116,-276
Vilkaviškis,-142,-164
Vilnius,233,-147
Visaginas,428,111
Zarasai,360,134